Feature,importance,fold
ffti_time_rev_asym_stat_5,31.8,3
ffti_time_rev_asym_stat_50,29.2,3
ffti_trend,32.0,3
fftr_Hann_window_mean_15000,24.8,3
fftr_Hilbert_mean,2.8,3
fftr_abs_mean,2.8,3
fftr_abs_percentile_1,25.2,3
fftr_abs_percentile_10,21.8,3
fftr_abs_percentile_5,23.0,3
fftr_abs_percentile_90,8.0,3
fftr_abs_percentile_95,4.2,3
fftr_abs_percentile_99,5.2,3
fftr_autocorrelation_10,41.2,3
fftr_autocorrelation_100,54.4,3
fftr_autocorrelation_1000,71.6,3
fftr_autocorrelation_10000,23.6,3
fftr_autocorrelation_5,25.8,3
fftr_autocorrelation_50,42.2,3
fftr_autocorrelation_500,33.4,3
fftr_autocorrelation_5000,57.0,3
fftr_ave10,24.6,3
fftr_ave_roll_mean_1000,21.2,3
fftr_ave_roll_mean_10000,17.8,3
fftr_ave_roll_mean_500,24.2,3
fftr_ave_roll_std_100,3.6,3
fftr_ave_roll_std_1000,1.6,3
fftr_ave_roll_std_10000,4.2,3
fftr_ave_roll_std_500,2.4,3
fftr_c3_10,31.6,3
fftr_c3_100,30.6,3
fftr_c3_1000,29.0,3
fftr_c3_10000,24.8,3
fftr_c3_5,23.0,3
fftr_c3_50,26.8,3
fftr_c3_500,34.0,3
fftr_c3_5000,39.8,3
fftr_classic_sta_lta1_mean,13.4,3
fftr_classic_sta_lta2_mean,10.4,3
fftr_classic_sta_lta4_mean,8.0,3
fftr_classic_sta_lta5_mean,35.2,3
fftr_classic_sta_lta6_mean,32.6,3
fftr_classic_sta_lta8_mean,10.0,3
fftr_count_big,15.6,3
fftr_exp_Moving_std_3000_mean,15.0,3
fftr_exp_Moving_std_300_mean,6.2,3
fftr_gmean,8.8,3
fftr_hmean,30.6,3
fftr_iqr,18.6,3
fftr_iqr1,12.6,3
fftr_kstat_1,6.6,3
fftr_mad,4.2,3
fftr_max_last_1000,44.2,3
fftr_max_last_10000,11.2,3
fftr_max_last_50000,15.2,3
fftr_mean,3.8,3
fftr_mean_change_rate,35.4,3
fftr_mean_change_rate_first_1000,40.6,3
fftr_mean_change_rate_first_10000,43.8,3
fftr_mean_change_rate_first_50000,43.6,3
fftr_mean_change_rate_last_1000,32.0,3
fftr_mean_change_rate_last_10000,38.4,3
fftr_mean_change_rate_last_50000,42.4,3
fftr_mean_first_50000,33.0,3
fftr_mean_last_1000,29.2,3
fftr_mean_last_10000,31.4,3
fftr_mean_last_50000,38.8,3
fftr_med,29.0,3
fftr_min,10.8,3
fftr_min_first_1000,29.4,3
fftr_min_first_10000,12.2,3
fftr_min_first_50000,11.4,3
fftr_min_last_1000,29.4,3
fftr_min_last_10000,6.4,3
fftr_min_last_50000,12.0,3
fftr_min_roll_mean_100,19.6,3
fftr_min_roll_mean_1000,15.8,3
fftr_min_roll_mean_10000,34.2,3
fftr_min_roll_mean_500,21.4,3
fftr_min_roll_std_100,26.8,3
fftr_min_roll_std_1000,30.8,3
fftr_min_roll_std_10000,20.4,3
fftr_min_roll_std_500,67.2,3
fftr_num_peaks_2,24.8,3
fftr_num_peaks_4,19.6,3
fftr_num_peaks_6,20.8,3
fftr_num_peaks_8,19.0,3
fftr_percentile_10,13.6,3
fftr_percentile_5,14.6,3
fftr_percentile_90,14.6,3
fftr_percentile_95,11.4,3
fftr_percentile_99,4.8,3
fftr_percentile_roll_mean_10_window_100,18.2,3
fftr_percentile_roll_mean_10_window_1000,22.2,3
