feat,importance
abs_percentile_90,10
ffti_percentile_30,10
fftr_av_change_abs_roll_std_10,10
ffti_max_roll_std_500,9.923076923
max_roll_std_10000,9.923076923
ffti_max_first_50000,9.769230769
ffti_max_roll_std_100,9.769230769
fftr_fft_3_real,9.769230769
exp_Moving_std_3000_mean,9.692307692
ffti_abs_percentile_50,9.692307692
ffti_min_first_10000,9.692307692
fftr_classic_sta_lta1_mean,9.692307692
fftr_exp_Moving_std_30000_mean,9.692307692
exp_Moving_std_50000_mean,9.615384615
ffti_abs_sum_of_changes,9.615384615
ffti_min_last_10000,9.615384615
ffti_min_roll_mean_100,9.615384615
fftr_min_first_50000,9.615384615
ffti_abs_max_roll_std_100,9.384615385
ffti_max,9.384615385
ffti_max_roll_std_1000,9.384615385
ffti_fft_5_angle,9.307692308
max_roll_std_1000,9.307692308
fftr_std_first_50000,9.230769231
fftr_av_change_abs_roll_std_500,9.153846154
max,9.153846154
max_roll_std_10,9.076923077
fftr_abs_energy,9
max_roll_std_500,9
ffti_percentile_roll_std_90,8.923076923
fftr_abs_percentile_80,8.923076923
max_roll_std_100,8.846153846
ffti_classic_sta_lta1_mean,8.769230769
max_last_1000,8.769230769
fftr_percentile_20,8.692307692
fftr_av_change_abs_roll_mean_500,8.615384615
fftr_kurt,8.538461538
percentile_99,8.538461538
fftr_abs_percentile_75,8.461538462
std_roll_std_10000,8.461538462
ave_roll_std_1000,8.384615385
fftr_mean_abs_change,8.384615385
max_roll_std_50,8.384615385
ffti_min_first_50000,8.307692308
ffti_min_last_50000,8.307692308
fftr_abs_percentile_60,8.307692308
fftr_kstatvar_1,8.307692308
fftr_min_first_10000,8.307692308
fftr_min_last_50000,8.307692308
fftr_percentile_roll_std_90,8.076923077
mean_change,8.076923077
std_roll_std_10,8.076923077
fftr_abs_std,8
exp_Moving_std_3000_std,7.923076923
ffti_range_-1000_0,7.923076923
fftr_count_big,7.923076923
fftr_percentile_80,7.923076923
abs_max_roll_std_10,7.846153846
ffti_abs_max_roll_std_1000,7.846153846
min_roll_std_10,7.769230769
ave_roll_mean_10000,7.692307692
fftr_iqr,7.692307692
fftr_min_last_10000,7.692307692
abs_max_roll_std_1000,7.538461538
ffti_percentile_25,7.538461538
fftr_long_strk_above_mean,7.538461538
fftr_moment_2,7.538461538
ffti_iqr,7.461538462
fftr_abs_max_roll_std_50,7.461538462
ffti_abs_percentile_80,7.384615385
ffti_min,7.307692308
fftr_av_change_abs_roll_mean_100,7.307692308
fftr_fft_4_angle,7.307692308
fftr_kstat_2,7.307692308
ffti_iqr1,7.230769231
fftr_percentile_5,7.230769231
percentile_90,7.153846154
abs_percentile_99,7.076923077
ffti_std_roll_std_10,7.076923077
fftr_av_change_abs_roll_mean_50,7.076923077
mean_change_abs,7.076923077
abs_percentile_95,7
ffti_range_0_1000,6.923076923
fftr_exp_Moving_std_50000_mean,6.923076923
fftr_percentile_90,6.846153846
ffti_ave_roll_std_10,6.769230769
fftr_abs_percentile_70,6.769230769
kstatvar_2,6.769230769
fftr_percentile_95,6.692307692
Hann_window_mean_1500,6.615384615
ffti_percentile_80,6.615384615
